Belief State,Depth,Wining Ratio
1,1,0.7865853658536586
1,2,0.7492447129909365
1,3,0.7548387096774194
1,4,0.7820895522388059
1,5,0.7840236686390533
1,6,0.7429467084639498
1,7,0.75
1,8,0.7641509433962265
1,9,0.7292307692307692
1,10,0.8192419825072886
1,11,0.7643312101910829
1,12,0.7808641975308642
1,13,0.8347578347578347
1,14,0.78125
1,15,0.7692307692307693
1,16,0.7204968944099379
1,17,0.7341389728096677
1,18,0.7727272727272727
1,19,0.7554858934169278
1,20,0.7917981072555205
2,1,0.7560240963855421
2,2,0.7333333333333333
2,3,0.7694704049844237
2,4,0.7485380116959064
2,5,0.7392638036809815
2,6,0.7198795180722891
2,7,0.7734138972809668
2,8,0.8068535825545171
